Comment,Designator,Footprint,LCSC,Quantity
USBLC6-2SC6,U2,USBLC6-2SC6,C7519,1
S5B-PH-K-S,J1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,C157923,1
Reset,SW1,SW_SPST_TL3342,C92584,1
ISP,J2,isp_standard,,1
D,D102,D_0805,C109001,1
D,D96,D_0805,C109001,1
D,D87,D_0805,C109001,1
D,D86,D_0805,C109001,1
D,D100,D_0805,C109001,1
D,D88,D_0805,C109001,1
D,D99,D_0805,C109001,1
D,D84,D_0805,C109001,1
D,D101,D_0805,C109001,1
D,D98,D_0805,C109001,1
D,D97,D_0805,C109001,1
D,D80,D_0805,C109001,1
D,D92,D_0805,C109001,1
D,D74,D_0805,C109001,1
D,D61,D_0805,C109001,1
D,D79,D_0805,C109001,1
D,D78,D_0805,C109001,1
D,D73,D_0805,C109001,1
D,D69,D_0805,C109001,1
D,D77,D_0805,C109001,1
D,D55,D_0805,C109001,1
D,D56,D_0805,C109001,1
D,D65,D_0805,C109001,1
D,D63,D_0805,C109001,1
D,D76,D_0805,C109001,1
D,D75,D_0805,C109001,1
D,D72,D_0805,C109001,1
D,D71,D_0805,C109001,1
D,D70,D_0805,C109001,1
D,D62,D_0805,C109001,1
D,D60,D_0805,C109001,1
D,D59,D_0805,C109001,1
D,D58,D_0805,C109001,1
D,D57,D_0805,C109001,1
D,D53,D_0805,C109001,1
D,D52,D_0805,C109001,1
D,D51,D_0805,C109001,1
D,D50,D_0805,C109001,1
D,D49,D_0805,C109001,1
D,D48,D_0805,C109001,1
D,D45,D_0805,C109001,1
D,D43,D_0805,C109001,1
D,D42,D_0805,C109001,1
D,D27,D_0805,C109001,1
D,D32,D_0805,C109001,1
D,D28,D_0805,C109001,1
D,D40,D_0805,C109001,1
D,D16,D_0805,C109001,1
D,D39,D_0805,C109001,1
D,D38,D_0805,C109001,1
D,D34,D_0805,C109001,1
D,D12,D_0805,C109001,1
D,D23,D_0805,C109001,1
D,D25,D_0805,C109001,1
D,D18,D_0805,C109001,1
D,D33,D_0805,C109001,1
D,D19,D_0805,C109001,1
D,D24,D_0805,C109001,1
D,D30,D_0805,C109001,1
D,D36,D_0805,C109001,1
D,D31,D_0805,C109001,1
D,D22,D_0805,C109001,1
D,D14,D_0805,C109001,1
D,D26,D_0805,C109001,1
D,D54,D_0805,C109001,1
D,D17,D_0805,C109001,1
D,D46,D_0805,C109001,1
D,D35,D_0805,C109001,1
D,D13,D_0805,C109001,1
D,D37,D_0805,C109001,1
D,D47,D_0805,C109001,1
D,D44,D_0805,C109001,1
D,D21,D_0805,C109001,1
D,D41,D_0805,C109001,1
D,D15,D_0805,C109001,1
D,D20,D_0805,C109001,1
D,D8,D_0805,C109001,1
D,D6,D_0805,C109001,1
D,D4,D_0805,C109001,1
D,D11,D_0805,C109001,1
D,D10,D_0805,C109001,1
D,D9,D_0805,C109001,1
D,D7,D_0805,C109001,1
D,D5,D_0805,C109001,1
D,D3,D_0805,C109001,1
D,D64,D_0805,C109001,1
D,D1,D_0805,C109001,1
D,D29,D_0805,C109001,1
D,D82,D_0805,C109001,1
CSTCE16M0V53-R0,X1,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,C341521,1
ATmega32U4,U1,ATMEGA32U4,C44854,1
"500mA, 1A",F1,R_0805,C261942,1
4.7u,C107,C_0805,C131056,1
1u,C101,C_0805,C215803,1
1k,R1,R_0805,C384174,1
10k,R104,R_0805,C103904,1
10k,R105,R_0805,C103904,1
0.1u,C105,C_0805,C128353,1
0.1u,C103,C_0805,C128353,1
0.1u,C104,C_0805,C128353,1
0.1u,C106,C_0805,C128353,1
22,R102,R_0805,C325772,1
22,R101,R_0805,C325772,1
