Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,C_0805,301.228156,-67.240618,0.0,bottom
C103,0.1u,C_0805,322.659428,-67.240602,0.0,bottom
C104,0.1u,C_0805,301.228378,-77.986003,0.0,bottom
C105,0.1u,C_0805,322.659424,-62.507865,180.0,bottom
C106,0.1u,C_0805,301.22816,-69.621854,0.0,bottom
C107,4.7u,C_0805,308.621882,-47.595321,0.0,bottom
D1,D,D_0805,39.885963,-11.310939,90.0,bottom
D10,D,D_0805,198.834534,-11.310939,90.0,bottom
D100,D,D_0805,292.548431,-115.461003,90.0,bottom
D101,D,D_0805,311.598447,-115.451629,90.0,bottom
D102,D,D_0805,308.026569,-115.461003,90.0,bottom
D11,D,D_0805,226.814245,-11.310939,90.0,bottom
D12,D,D_0805,245.864261,-11.310939,90.0,bottom
D13,D,D_0805,249.436139,-11.310939,90.0,bottom
D14,D,D_0805,283.964293,-11.310939,90.0,bottom
D15,D,D_0805,292.548675,-11.310939,90.0,bottom
D16,D,D_0805,311.598691,-11.310939,90.0,bottom
D17,D,D_0805,308.026813,-11.310939,90.0,bottom
D18,D,D_0805,17.264069,-39.260939,90.0,bottom
D19,D,D_0805,36.314085,-39.260939,90.0,bottom
D20,D,D_0805,55.364101,-39.260939,90.0,bottom
D21,D,D_0805,74.414117,-39.260939,90.0,bottom
D22,D,D_0805,93.464133,-39.260939,90.0,bottom
D23,D,D_0805,112.514149,-39.260939,90.0,bottom
D24,D,D_0805,131.564165,-39.260939,90.0,bottom
D25,D,D_0805,150.614181,-39.260939,90.0,bottom
D26,D,D_0805,169.664197,-39.260939,90.0,bottom
D27,D,D_0805,188.714213,-39.260939,90.0,bottom
D28,D,D_0805,207.764229,-39.260939,90.0,bottom
D29,D,D_0805,226.814245,-39.260939,90.0,bottom
D3,D,D_0805,55.364101,-11.310939,90.0,bottom
D30,D,D_0805,230.385931,-39.260939,90.0,bottom
D31,D,D_0805,274.439285,-39.260939,90.0,bottom
D32,D,D_0805,308.026569,-39.260939,90.0,bottom
D33,D,D_0805,327.076585,-39.260939,90.0,bottom
D34,D,D_0805,330.648463,-39.260939,90.0,bottom
D35,D,D_0805,22.026573,-58.310955,90.0,bottom
D36,D,D_0805,30.360955,-58.310955,90.0,bottom
D37,D,D_0805,65.484422,-58.310955,90.0,bottom
D38,D,D_0805,83.939125,-58.310955,90.0,bottom
D39,D,D_0805,102.989141,-58.310955,90.0,bottom
D4,D,D_0805,74.414117,-11.310939,90.0,bottom
D40,D,D_0805,106.561019,-58.310955,90.0,bottom
D41,D,D_0805,141.089173,-58.310955,90.0,bottom
D42,D,D_0805,160.139189,-58.310955,90.0,bottom
D43,D,D_0805,179.189205,-58.310955,90.0,bottom
D44,D,D_0805,198.239221,-58.310955,90.0,bottom
D45,D,D_0805,201.811099,-58.310955,90.0,bottom
D46,D,D_0805,236.934566,-58.310955,90.0,bottom
D47,D,D_0805,255.389269,-58.310955,90.0,bottom
D48,D,D_0805,258.365834,-58.310955,90.0,bottom
D49,D,D_0805,308.026569,-58.310955,90.0,bottom
D5,D,D_0805,77.985995,-11.310939,90.0,bottom
D50,D,D_0805,311.598415,-58.310939,90.0,bottom
D51,D,D_0805,327.076553,-58.310939,90.0,bottom
D52,D,D_0805,24.407825,-77.360971,90.0,bottom
D53,D,D_0805,50.601597,-77.360971,90.0,bottom
D54,D,D_0805,69.651613,-77.360971,90.0,bottom
D55,D,D_0805,73.223491,-77.360971,90.0,bottom
D56,D,D_0805,107.751645,-77.360971,90.0,bottom
D57,D,D_0805,126.801661,-77.360971,90.0,bottom
D58,D,D_0805,145.851677,-77.360971,90.0,bottom
D59,D,D_0805,149.423555,-77.360971,90.0,bottom
D6,D,D_0805,112.514149,-11.310939,90.0,bottom
D60,D,D_0805,184.547022,-77.360971,90.0,bottom
D61,D,D_0805,203.001725,-77.360971,90.0,bottom
D62,D,D_0805,222.051741,-77.360971,90.0,bottom
D63,D,D_0805,225.623405,-77.360939,90.0,bottom
D64,D,D_0805,244.673635,-77.360971,90.0,bottom
D65,D,D_0805,241.101543,-77.360939,90.0,bottom
D69,D,D_0805,44.648467,-96.410987,90.0,bottom
D7,D,D_0805,141.089173,-11.310939,90.0,bottom
D70,D,D_0805,41.076589,-96.410987,90.0,bottom
D71,D,D_0805,82.748499,-96.410987,90.0,bottom
D72,D,D_0805,79.176621,-96.410987,90.0,bottom
D73,D,D_0805,98.226637,-96.410987,90.0,bottom
D74,D,D_0805,101.798515,-96.410987,90.0,bottom
D75,D,D_0805,136.921982,-96.410987,90.0,bottom
D76,D,D_0805,155.376685,-96.410987,90.0,bottom
D77,D,D_0805,174.426701,-96.410987,90.0,bottom
D78,D,D_0805,193.476717,-96.410987,90.0,bottom
D79,D,D_0805,212.526733,-96.410987,90.0,bottom
D8,D,D_0805,160.139189,-11.310939,90.0,bottom
D80,D,D_0805,231.576749,-96.410987,90.0,bottom
D82,D,D_0805,251.817181,-96.410939,90.0,bottom
D84,D,D_0805,311.598431,-96.410939,90.0,bottom
D86,D,D_0805,19.645321,-115.461003,90.0,bottom
D87,D,D_0805,43.457841,-115.461003,90.0,bottom
D88,D,D_0805,67.270361,-115.461003,90.0,bottom
D9,D,D_0805,163.711067,-11.310939,90.0,bottom
D92,D,D_0805,138.707921,-115.461003,90.0,bottom
D96,D,D_0805,210.145481,-115.461003,90.0,bottom
D97,D,D_0805,233.958001,-115.461003,90.0,bottom
D98,D,D_0805,257.770521,-115.461003,90.0,bottom
D99,D,D_0805,281.583041,-115.461003,90.0,bottom
F1,"500mA, 1A",R_0805,307.431224,-30.331228,90.0,bottom
J1,S5B-PH-K-S,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,285.75,-23.05,270.0,bottom
J2,ISP,isp_standard,336.351845,-72.032873,180.0,bottom
R1,1k,R_0805,22.026581,-80.367255,90.0,bottom
R101,22,R_0805,309.812476,-30.331228,90.0,bottom
R102,22,R_0805,312.193728,-30.331228,90.0,bottom
R104,10k,R_0805,322.659428,-69.621854,180.0,bottom
R105,10k,R_0805,301.228378,-80.367255,180.0,bottom
SW1,Reset,SW_SPST_TL3342,262.0,-23.5,180.0,bottom
U1,ATmega32U4,ATMEGA32U4,311.348691,-73.19378,270.0,bottom
U2,USBLC6-2SC6,USBLC6-2SC6,310.407777,-24.973167,180.0,bottom
X1,CSTCE16M0V53-R0,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,322.659428,-74.384358,90.0,bottom
